Project Name,Location,Start Date,Planned End Date,Actual End Date,Planned Duration (days),Actual Duration (days),Budget (INR),Actual Cost (INR),Materials Used,Average Daily Labor,Site Incidents
Project_1,Pune,27-02-2023,07-09-2023,10-11-2023,192,256,"? 2,20,00,000","? 2,17,00,000","Steel, Tiles, Cement",116,5
Project_2,Chennai,14-02-2023,10-06-2024,04-07-2024,482,506,"? 70,00,000","? 60,00,000","Cement, Steel, Wood",94,4
Project_3,Mumbai,15-10-2023,22-07-2024,21-09-2024,281,342,"? 4,60,00,000","? 4,72,00,000","Glass, Concrete, Steel",87,4
Project_4,Bangalore,04-01-2023,22-09-2023,20-11-2023,261,320,"? 3,20,00,000","? 3,20,00,000","Bricks, Steel, Wood",73,0
Project_5,Mumbai,14-07-2023,28-02-2024,14-03-2024,229,244,"? 2,70,00,000","? 2,79,00,000","Bricks, Cement, Concrete",98,0
Project_6,Hyderabad,10-02-2023,17-05-2024,24-05-2024,462,469,"? 4,50,00,000","? 4,59,00,000","Tiles, Bricks, Glass",54,5
Project_7,Mumbai,24-01-2023,25-06-2024,24-06-2024,518,517,"? 2,30,00,000","? 2,22,00,000","Tiles, Steel, Cement",78,2
Project_8,Hyderabad,06-07-2023,25-03-2024,11-04-2024,263,280,"? 2,70,00,000","? 2,66,00,000","Wood, Bricks, Cement",107,5
Project_9,Delhi,01-10-2023,01-08-2024,22-07-2024,305,295,"? 3,40,00,000","? 3,42,00,000","Bricks, Wood, Glass",58,5
Project_10,Bangalore,29-01-2023,22-11-2023,05-02-2024,297,372,"? 70,00,000","? 85,00,000","Bricks, Concrete, Tiles",38,1
Project_11,Chennai,11-06-2023,25-03-2024,17-05-2024,288,341,"? 3,60,00,000","? 3,62,00,000","Wood, Concrete, Steel",63,1
Project_12,Delhi,15-10-2023,12-01-2025,15-01-2025,455,458,"? 4,20,00,000","? 4,23,00,000","Glass, Concrete, Bricks",58,1
Project_13,Chennai,10-09-2023,23-04-2024,28-06-2024,226,292,"? 80,00,000","? 97,00,000","Cement, Steel, Wood",117,3
Project_14,Chennai,02-02-2023,14-02-2024,03-03-2024,377,395,"? 4,30,00,000","? 4,34,00,000","Glass, Bricks, Tiles",31,5
Project_15,Pune,28-02-2023,10-08-2024,01-11-2024,529,612,"? 3,90,00,000","? 4,04,00,000","Bricks, Wood, Tiles",44,2
Project_16,Hyderabad,22-03-2023,07-05-2024,07-04-2024,412,382,"? 2,10,00,000","? 2,16,00,000","Tiles, Steel, Glass",43,5
Project_17,Bangalore,17-09-2023,20-01-2025,15-01-2025,491,486,"? 1,40,00,000","? 1,41,00,000","Tiles, Steel, Glass",97,0
Project_18,Chennai,15-06-2023,18-08-2024,21-07-2024,430,402,"? 1,20,00,000","? 1,39,00,000","Bricks, Tiles, Steel",37,1
Project_19,Chennai,10-02-2023,21-09-2023,23-11-2023,223,286,"? 3,60,00,000","? 3,76,00,000","Cement, Glass, Steel",46,5
Project_20,Hyderabad,09-10-2023,29-06-2024,02-07-2024,264,267,"? 3,80,00,000","? 3,97,00,000","Glass, Concrete, Steel",99,5
Project_21,Pune,13-04-2023,17-03-2024,07-04-2024,339,360,"? 4,70,00,000","? 4,80,00,000","Bricks, Concrete, Glass",87,0
Project_22,Delhi,26-04-2023,24-11-2023,07-12-2023,212,225,"? 60,00,000","? 68,00,000","Glass, Steel, Tiles",58,0
Project_23,Mumbai,31-01-2023,24-11-2023,02-11-2023,297,275,"? 70,00,000","? 87,00,000","Bricks, Cement, Glass",60,2
Project_24,Pune,06-09-2023,21-06-2024,30-07-2024,289,328,"? 1,30,00,000","? 1,43,00,000","Glass, Tiles, Concrete",61,3
Project_25,Kolkata,28-07-2023,30-04-2024,12-04-2024,277,259,"? 1,10,00,000","? 1,21,00,000","Concrete, Bricks, Tiles",82,3
Project_26,Kolkata,28-01-2023,05-07-2024,27-08-2024,524,577,"? 4,60,00,000","? 4,53,00,000","Cement, Concrete, Bricks",43,1
Project_27,Delhi,08-04-2023,05-07-2024,01-08-2024,454,481,"? 1,30,00,000","? 1,33,00,000","Steel, Bricks, Concrete",61,0
Project_28,Hyderabad,09-10-2023,26-05-2024,02-05-2024,230,206,"? 4,60,00,000","? 4,67,00,000","Tiles, Cement, Wood",60,1
Project_29,Hyderabad,06-09-2023,05-11-2024,02-11-2024,426,423,"? 3,00,00,000","? 3,18,00,000","Cement, Steel, Concrete",30,3
Project_30,Bangalore,21-08-2023,12-07-2024,05-08-2024,326,350,"? 4,90,00,000","? 5,10,00,000","Wood, Glass, Concrete",49,1
Project_31,Bangalore,22-04-2023,17-11-2023,31-12-2023,209,253,"? 3,90,00,000","? 3,81,00,000","Wood, Bricks, Cement",36,4
Project_32,Hyderabad,15-09-2023,09-12-2024,29-11-2024,451,441,"? 80,00,000","? 1,00,00,000","Glass, Cement, Steel",38,4
Project_33,Mumbai,01-05-2023,21-05-2024,06-05-2024,386,371,"? 4,10,00,000","? 4,07,00,000","Glass, Tiles, Cement",109,0
Project_34,Hyderabad,26-10-2023,06-02-2025,14-03-2025,469,505,"? 2,50,00,000","? 2,69,00,000","Bricks, Steel, Tiles",60,2
Project_35,Hyderabad,09-03-2023,13-08-2024,04-10-2024,523,575,"? 2,40,00,000","? 2,44,00,000","Bricks, Cement, Wood",88,4
Project_36,Chennai,21-02-2023,26-09-2023,03-11-2023,217,255,"? 1,80,00,000","? 1,86,00,000","Bricks, Steel, Tiles",38,1
Project_37,Bangalore,26-05-2023,10-02-2024,07-03-2024,260,286,"? 3,90,00,000","? 4,02,00,000","Bricks, Glass, Wood",31,5
Project_38,Kolkata,11-10-2023,08-09-2024,06-12-2024,333,422,"? 4,70,00,000","? 4,63,00,000","Steel, Bricks, Cement",43,5
Project_39,Chennai,21-03-2023,03-02-2024,09-02-2024,319,325,"? 4,30,00,000","? 4,26,00,000","Wood, Bricks, Steel",117,5
Project_40,Kolkata,16-05-2023,27-07-2024,28-08-2024,438,470,"? 2,10,00,000","? 2,28,00,000","Tiles, Cement, Wood",111,3
Project_41,Kolkata,22-05-2023,10-12-2023,10-11-2023,202,172,"? 2,60,00,000","? 2,74,00,000","Steel, Wood, Bricks",50,5
Project_42,Hyderabad,10-10-2023,11-11-2024,22-12-2024,398,439,"? 50,00,000","? 43,00,000","Cement, Wood, Steel",99,0
Project_43,Kolkata,09-07-2023,29-10-2024,08-12-2024,478,518,"? 1,40,00,000","? 1,43,00,000","Steel, Cement, Bricks",76,0
Project_44,Bangalore,18-04-2023,28-09-2024,29-09-2024,529,530,"? 4,70,00,000","? 4,63,00,000","Bricks, Glass, Concrete",109,5
Project_45,Delhi,02-05-2023,20-01-2024,01-04-2024,263,335,"? 1,60,00,000","? 1,78,00,000","Concrete, Cement, Steel",72,3
Project_46,Kolkata,08-05-2023,19-03-2024,09-03-2024,316,306,"? 4,90,00,000","? 4,83,00,000","Concrete, Cement, Tiles",58,1
Project_47,Kolkata,24-08-2023,17-08-2024,26-08-2024,359,368,"? 1,90,00,000","? 1,87,00,000","Cement, Wood, Steel",81,2
Project_48,Bangalore,05-02-2023,24-12-2023,07-01-2024,322,336,"? 4,60,00,000","? 4,66,00,000","Concrete, Wood, Glass",72,0
Project_49,Mumbai,14-05-2023,09-02-2024,24-03-2024,271,315,"? 2,10,00,000","? 2,01,00,000","Cement, Glass, Concrete",74,5
Project_50,Kolkata,10-06-2023,17-07-2024,02-09-2024,403,450,"? 3,70,00,000","? 3,63,00,000","Concrete, Glass, Steel",62,0
